Reference, Value, Footprint, Datasheet, PN, manf#
"M1","ATM90E26_ATM90E26","Housings_SSOP:SSOP-28_5.3x10.2mm_Pitch0.65mm","","ATM90E26-YU-B",""
"C2",".1u","Capacitors_SMD:C_0402","","C",""
"C3",".1u","Capacitors_SMD:C_0402","","C",""
"C5",".1u","Capacitors_SMD:C_0402","","C",""
"C1","10u","Capacitors_SMD:C_0603","","C",""
"C4","10u","Capacitors_SMD:C_0603","","C",""
"Y1","Crystal_Small","Crystals:Crystal_SMD_5032-2pin_5.0x3.2mm","","AA-8.192MAGE-T","AA-8.192MAGE-T"
"C6","20p","Capacitors_SMD:C_0402","","CC0805JRNPO9BN200","CC0805JRNPO9BN200"
"C7","20p","Capacitors_SMD:C_0402","","CC0805JRNPO9BN200",""
"J5","CONN_01X10","52418-1010:SHDR10W60P200_1X10_2150X400X335P","","52418-1010","52418-1010"
"Y2","Crystal_Small","Crystals:Crystal_SMD_5032-2pin_5.0x3.2mm","","AA-8.192MAGE-T",""
"C13","20p","Capacitors_SMD:C_0402","","CC0805JRNPO9BN200",""
"C14","20p","Capacitors_SMD:C_0402","","CC0805JRNPO9BN200",""
"M2","ATM90E26_ATM90E26","Housings_SSOP:SSOP-28_5.3x10.2mm_Pitch0.65mm","","ATM90E26-YU-B","ATM90E26-YU-B"
"C9",".1u","Capacitors_SMD:C_0402","","C","GRM155R71C104KA88D"
"C10",".1u","Capacitors_SMD:C_0402","","C",""
"C12",".1u","Capacitors_SMD:C_0402","","C",""
"C8","10u","Capacitors_SMD:C_0603","","C","GRM188R61A106KE69D"
"C11","10u","Capacitors_SMD:C_0603","","C",""
"R2","1K","Resistors_SMD:R_0402","","R",""
"C16",".033u","Capacitors_SMD:C_0402","","C",""
"R1","1K","Resistors_SMD:R_0402","","R","CRCW04021K00FKED"
"C15",".033u","Capacitors_SMD:C_0402","","C","GRM155B11A333KA01D"
"R4","1K","Resistors_SMD:R_0402","","R",""
"C18",".033u","Capacitors_SMD:C_0402","","C",""
"R3","1K","Resistors_SMD:R_0402","","R",""
"C17",".033u","Capacitors_SMD:C_0402","","C",""
"R6","1K","Resistors_SMD:R_0402","","R",""
"C20",".033u","Capacitors_SMD:C_0402","","C",""
"R5","1K","Resistors_SMD:R_0402","","R",""
"C19",".033u","Capacitors_SMD:C_0402","","C",""
"G1","LOGO","Whatnick_logo:Whatnick_logo","","X",""
"LOGO1","Logo_Open_Hardware_Small","Symbols:OSHW-Logo2_7.3x6mm_SilkScreen","","X",""
"SYM1","SYM_Flash_Small","Whatnick_logo:Fsilk_HV","","X",""
"L1","GND_SUP","Inductors_SMD:L_0402","","BLM15AG100SN1D","BLM15AG100SN1D"
"L2","3V3_SUP","Inductors_SMD:L_0402","","BLM15AG100SN1D","BLM15AG100SN1D"
"ZX_0","ZX_0","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small","","X",""
"IRQ_0","IRQ_0","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small","","X",""
"CF2_0","CF2_0","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small","","X",""
"CF1_0","CF1_0","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small","","X",""
"WARN_0","WARN_0","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small","","X",""
"ZX_1","ZX_1","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small","","X",""
"IRQ_1","IRQ_1","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small","","X",""
"CF2_1","CF2_1","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small","","X",""
"CF1_1","CF1_1","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small","","X",""
"WARN_1","WARN_1","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small","","X",""
"J1","Conn_02x18_Counter_Clockwise","","~","X",""
